round 
x  y *0.996 *1.0738 
IP003.txt ID003.txt hsp0015.txt hsp0005.txt hsd001496.txt hsd00042.txt 
1  38.04
2  51.18
3  51.94
4  56.03
5  65.08
6  62.37
7  61.39
8  58.74
9  53.48
10  60.61
11  52.17
12  28.99
13  53.60
14  56.29
15  45.07
16  52.56
17  54.17
18  48.80
19  64.79
20  61.04
21  50.58
22  61.39
23  47.86
24  45.67
25  50.82
26  57.98
27  57.23
28  62.14
29  52.64
30  51.86
31  55.59
32  54.11
33  54.19
34  43.31
35  46.21
36  51.86
37  54.70
38  43.55
39  53.19
40  52.02
41  47.38
42  51.90
43  51.85
44  47.78
45  55.60
46  47.41
47  53.12
48  47.98
49  51.87
50  48.69
51  36.82
52  42.09
53  41.80
54  42.56
55  47.38
56  51.51
57  40.09
58  48.57
59  51.04
60  52.02
61  45.96
62  52.04
63  36.47
64  33.56
65  48.31
66  44.52
67  51.02
68  42.18
69  33.73
70  43.25
71  46.12
72  46.65
73  38.67
74  34.22
75  41.40
76  27.08
77  38.40
78  44.45
79  31.78
80  48.07
81  40.42
82  34.22
83  46.68
84  44.70
85  42.50
86  43.19
87  27.88
88  40.85
89  44.73
90  39.56
91  39.80
92  33.01
93  29.64
94  44.07
95  31.15
96  34.48
97  40.95
98  43.28
99  38.14
100  46.71
101  46.52
102  41.91
103  47.40
104  25.63
105  39.56
106  26.98
107  41.14
108  33.38
109  34.44
110  43.16
111  45.41
112  43.06
113  38.77
114  43.99
115  47.80
116  39.44
117  41.05
118  46.39
